name,age,club,minor,pa,best,pos,field,bats,HR_mlb,HR,OBP,OPS+,bestP,HR_p,OBP_p,OPS+_p,OPS+_pF,Tpct,c,1b,2b,3b,ss,lf,cf,rf,dh,cP,1bP,2bP,3bP,ssP,lfP,cfP,rfP,dhP,toWAR,toWARP,c_tdWAR,1b_tdWAR,2b_tdWAR,3b_tdWAR,ss_tdWAR,lf_tdWAR,cf_tdWAR,rf_tdWAR,dh_tdWAR,in_list
Luis Magana,16,STL,0,0,-8.07,1b,,L,,6,0.163,52,2.22,16,0.386,116,-999,0.52,-18.85,-8.07,-12.17,-10.81,-15.94,-11.11,-10.13,-10.92,-8.31,-8.56,2.22,-1.88,-0.53,-5.66,-0.83,0.16,-0.64,1.97,-8.31,1.97,-10.54,0.24,-3.86,-2.5,-7.63,-2.8,-1.82,-2.61,0,
Francisco Torres,16,BOS,1,0,-7.75,1b,,R,,4,0.16,50,2.39,16,0.38,112,-999,0.5,-18.78,-7.75,-8.48,-9.39,-12.51,-12.29,-9.75,-11.86,-8.38,-8.65,2.39,1.66,0.74,-2.38,-2.15,0.38,-1.72,1.75,-8.38,1.75,-10.4,0.63,-0.1,-1.02,-4.13,-3.91,-1.37,-3.48,0,
Manny Romero,17,COL,1,0,-6.18,lf,LF,S,,4,0.176,56,4.42,17,0.377,119,119,0.93,-17.67,-6.95,-11.67,-10.85,-15.38,-6.18,-7.37,-7.61,-7.13,-7.06,3.66,-1.07,-0.24,-4.78,4.42,3.24,3.0,3.48,-7.13,3.48,-10.54,0.18,-4.54,-3.71,-8.25,0.95,-0.24,-0.48,0,
Pablo Knapen,17,BOS,0,0,-8.85,1b,,R,,4,0.149,47,1.56,12,0.375,113,-999,0.47,-8.93,-8.85,-12.8,-10.43,-16.07,-11.87,-10.84,-11.68,-9.07,1.48,1.56,-2.39,-0.02,-5.66,-1.46,-0.43,-1.27,1.34,-9.07,1.34,0.13,0.22,-3.73,-1.36,-7.0,-2.8,-1.77,-2.61,0,
Rey Samaniego,17,BAL,1,0,-8.14,1b,,R,,4,0.158,50,1.69,17,0.333,105,-999,0.5,-18.66,-8.14,-11.82,-12.09,-16.46,-11.01,-10.03,-10.73,-8.26,-8.84,1.69,-1.99,-2.27,-6.64,-1.19,-0.21,-0.91,1.56,-8.26,1.56,-10.4,0.13,-3.55,-3.83,-8.2,-2.75,-1.77,-2.47,0,
Ruben Gonzales,18,ATL,1,0,-4.9,c,,R,,6,0.189,58,4.0,22,0.36,113,-999,0.58,-4.9,-6.34,-9.88,-8.19,-13.14,-10.69,-8.2,-10.08,-6.89,4.0,2.56,-0.98,0.71,-4.24,-1.79,0.7,-1.18,2.02,-6.89,2.02,1.99,0.54,-2.99,-1.31,-6.26,-3.81,-1.32,-3.19,0,
Dave Reyes,16,PHI,1,0,-7.78,lf,,R,,4,0.151,49,1.98,17,0.362,111,-999,0.49,-8.43,-8.45,-12.76,-11.73,-16.34,-7.78,-9.64,-10.18,-8.57,1.32,1.3,-3.0,-1.97,-6.58,1.98,0.12,-0.42,1.19,-8.57,1.19,0.13,0.11,-4.19,-3.16,-7.77,0.79,-1.07,-1.61,0,
Allvaro Cavaco,17,TOR,0,0,-8.29,c,,S,,6,0.147,49,2.17,17,0.373,114,-999,0.49,-8.29,-8.47,-12.03,-10.0,-16.52,-12.71,-10.18,-12.19,-8.85,2.17,1.99,-1.56,0.46,-6.06,-2.25,0.29,-1.72,1.61,-8.85,1.61,0.56,0.38,-3.17,-1.15,-7.67,-3.86,-1.32,-3.34,0,
Omar Melgoza,16,TOR,1,0,-7.63,3b,,R,,4,0.152,49,0.32,12,0.325,98,-999,0.49,-19.21,-8.01,-9.3,-7.63,-11.88,-12.85,-9.94,-11.97,-8.68,-11.27,-0.06,-1.35,0.32,-3.94,-4.91,-2.0,-4.03,-0.73,-8.68,-0.73,-10.54,0.67,-0.62,1.05,-3.21,-4.18,-1.27,-3.3,0,
Ivan Mercado,17,TOR,0,0,-7.72,3b,3B,L,,4,0.152,49,2.01,14,0.34,106,106,0.82,-19.08,-8.18,-7.89,-7.72,-10.42,-7.89,-9.79,-10.29,-8.68,-9.34,1.55,1.84,2.01,-0.68,1.84,-0.06,-0.56,1.06,-8.68,1.06,-10.4,0.49,0.78,0.95,-1.74,0.79,-1.12,-1.61,0,
Angel Chaparro,17,LAA,1,0,-8.29,1b,,L,,6,0.147,49,1.18,17,0.34,107,-999,0.49,-19.13,-8.29,-13.32,-12.39,-17.8,-11.39,-10.41,-11.2,-8.59,-9.66,1.18,-3.85,-2.93,-8.34,-1.93,-0.95,-1.74,0.87,-8.59,0.87,-10.54,0.3,-4.73,-3.8,-9.21,-2.8,-1.82,-2.61,0,
Angel Sanchez,16,MIA,1,0,-8.07,lf,LF,R,,6,0.141,47,2.7,23,0.353,114,114,0.8,-19.5,-8.8,-12.41,-12.11,-17.18,-8.07,-9.25,-9.59,-8.97,-8.74,1.97,-1.64,-1.34,-6.42,2.7,1.51,1.18,1.8,-8.97,1.8,-10.54,0.17,-3.44,-3.14,-8.21,0.9,-0.29,-0.62,0,
Jose Vasquez,16,TEX,1,0,-8.94,1b,,R,,6,0.145,47,1.86,43,0.318,113,-999,0.47,-19.64,-8.94,-10.18,-10.89,-14.71,-12.19,-11.25,-12.2,-9.24,-8.84,1.86,0.62,-0.09,-3.91,-1.39,-0.45,-1.4,1.56,-9.24,1.56,-10.4,0.3,-0.94,-1.65,-5.47,-2.95,-2.01,-2.96,0,
Edwin Cedillo,17,MIL,1,0,-8.53,1b,,R,,4,0.152,49,0.57,12,0.353,107,-999,0.49,-19.08,-8.53,-10.2,-10.53,-15.22,-12.86,-10.1,-12.42,-8.68,-9.97,0.57,-1.09,-1.43,-6.12,-3.75,-0.99,-3.31,0.43,-8.68,0.43,-10.4,0.14,-1.52,-1.86,-6.54,-4.18,-1.42,-3.74,0,
Nelson de la Torre,17,TOR,0,0,-8.2,lf,LF,R,,4,0.139,46,0.44,12,0.323,99,99,0.77,-19.68,-8.49,-10.62,-11.05,-14.99,-8.2,-9.29,-9.62,-9.15,-11.05,0.15,-1.98,-2.41,-6.35,0.44,-0.66,-0.99,-0.51,-9.15,-0.51,-10.54,0.66,-1.47,-1.9,-5.84,0.95,-0.15,-0.48,0,
Alex Borrego,17,MIL,0,0,-8.01,lf,RF,R,,6,0.144,47,1.79,27,0.319,103,103,0.78,-19.67,-9.12,-14.41,-13.51,-18.61,-8.01,-8.57,-8.4,-9.13,-9.86,0.69,-4.61,-3.71,-8.81,1.79,1.24,1.4,0.67,-9.13,0.67,-10.54,0.02,-5.28,-4.38,-9.48,1.12,0.56,0.73,0,
Cecilio Borralho,17,PIT,0,0,-8.4,1b,,R,,6,0.154,51,1.38,14,0.369,112,-999,0.51,-19.04,-8.4,-10.13,-9.17,-14.01,-12.36,-9.82,-11.83,-8.5,-9.25,1.38,-0.35,0.62,-4.23,-2.57,-0.04,-2.05,1.28,-8.5,1.28,-10.54,0.09,-1.63,-0.67,-5.51,-3.86,-1.32,-3.34,0,
Gus Pena,17,MIN,1,0,-8.35,1b,,R,,6,0.149,49,1.64,17,0.361,113,-999,0.49,-19.24,-8.35,-12.78,-12.05,-17.11,-11.6,-10.66,-11.59,-8.7,-9.25,1.64,-2.79,-2.06,-7.13,-1.61,-0.67,-1.6,1.29,-8.7,1.29,-10.54,0.35,-4.08,-3.35,-8.41,-2.9,-1.96,-2.89,0,
Jon Hartsoeker,16,NYM,0,0,-7.0,lf,,R,,6,0.17,54,2.42,17,0.361,113,-999,0.54,-18.33,-7.58,-10.21,-9.77,-15.22,-7.0,-8.81,-9.12,-7.93,-8.92,1.83,-0.8,-0.36,-5.8,2.42,0.6,0.3,1.48,-7.93,1.48,-10.4,0.35,-2.28,-1.84,-7.28,0.94,-0.88,-1.18,0,
Tom Krajancic,17,MIL,0,0,-8.08,lf,,R,,6,0.141,47,2.54,23,0.328,109,-999,0.47,-19.37,-8.36,-8.58,-8.6,-11.23,-8.08,-10.03,-10.3,-8.97,-8.74,2.27,2.04,2.02,-0.61,2.54,0.59,0.32,1.66,-8.97,1.66,-10.4,0.61,0.39,0.37,-2.26,0.88,-1.06,-1.33,0,
Mark Lowe,17,TOR,0,0,-8.83,c,,R,,6,0.141,47,0.46,14,0.343,105,-999,0.47,-8.83,-8.98,-12.99,-12.99,-17.63,-11.82,-10.79,-11.72,-8.97,0.46,0.32,-3.69,-3.69,-8.33,-2.52,-1.49,-2.42,0.33,-8.97,0.33,0.13,-0.01,-4.02,-4.02,-8.66,-2.85,-1.82,-2.75,0,
Tony Ochoa,18,LAD,1,0,-8.12,1b,,S,,6,0.154,51,1.09,17,0.346,108,-999,0.51,-18.9,-8.12,-9.69,-10.35,-14.85,-12.73,-10.06,-12.31,-8.5,-9.69,1.09,-0.48,-1.14,-5.63,-3.52,-0.85,-3.1,0.71,-8.5,0.71,-10.4,0.38,-1.19,-1.86,-6.35,-4.24,-1.56,-3.81,0,
Andres Hidalgo,17,PHI,1,0,-8.53,1b,,L,,6,0.154,50,0.27,22,0.327,103,-999,0.5,-9.47,-8.53,-12.96,-12.46,-16.91,-11.4,-10.42,-11.31,-8.55,-0.68,0.27,-4.16,-3.66,-8.11,-2.6,-1.62,-2.51,0.25,-8.55,0.25,-0.92,0.02,-4.41,-3.91,-8.35,-2.85,-1.87,-2.75,0,
Ricardo Leopardi,17,ATL,1,0,-7.45,1b,,R,,4,0.163,52,0.48,17,0.328,102,-999,0.52,-18.48,-7.45,-10.82,-10.56,-16.06,-10.85,-9.82,-10.84,-7.95,-10.56,0.48,-2.89,-2.63,-8.13,-2.92,-1.89,-2.91,-0.02,-7.95,-0.02,-10.54,0.49,-2.87,-2.61,-8.11,-2.9,-1.87,-2.89,0,
Juan Mendez,17,SF,1,0,-7.89,1b,,R,,6,0.154,51,3.96,14,0.421,128,-999,0.51,-18.9,-7.89,-8.27,-7.92,-10.67,-12.41,-9.87,-11.97,-8.5,-7.04,3.96,3.58,3.93,1.19,-0.55,1.98,-0.12,3.36,-8.5,3.36,-10.4,0.61,0.23,0.58,-2.17,-3.91,-1.37,-3.48,0,
Miguel Gonzalez,17,LAD,1,0,-6.92,lf,RF,L,,4,0.158,51,4.11,14,0.413,125,125,0.85,-18.73,-8.02,-12.34,-12.02,-16.75,-6.92,-7.39,-7.03,-8.19,-7.7,3.01,-1.32,-0.99,-5.72,4.11,3.64,4.0,2.84,-8.19,2.84,-10.54,0.17,-4.15,-3.83,-8.56,1.27,0.8,1.16,0,
Bobby Quero,17,CLE,0,0,-8.13,lf,LF,R,,6,0.142,47,1.15,14,0.339,104,104,0.78,-8.79,-8.95,-13.0,-12.44,-17.79,-8.13,-9.27,-9.55,-9.08,0.49,0.32,-3.73,-3.16,-8.51,1.15,0.0,-0.28,0.2,-9.08,0.2,0.29,0.13,-3.93,-3.36,-8.71,0.95,-0.19,-0.48,0,
Christian Perez,17,PIT,0,0,-9.03,1b,,L,,4,0.14,46,0.41,22,0.327,104,-999,0.46,-9.12,-9.03,-14.04,-12.8,-17.73,-13.11,-10.62,-12.59,-9.25,0.32,0.41,-4.6,-3.36,-8.29,-3.67,-1.18,-3.15,0.19,-9.25,0.19,0.13,0.22,-4.79,-3.54,-8.47,-3.86,-1.37,-3.34,0,
Fernando Alvarado,18,LAD,0,0,-7.93,lf,LF,L,,4,0.147,48,1.22,8,0.353,105,105,0.77,-19.41,-8.7,-13.03,-12.7,-17.43,-7.93,-9.16,-9.35,-8.88,-10.26,0.45,-3.88,-3.55,-8.28,1.22,-0.0,-0.2,0.28,-8.88,0.28,-10.54,0.17,-4.15,-3.83,-8.56,0.95,-0.28,-0.48,0,
Jose Valles,17,TOR,0,0,-7.51,lf,RF,R,,4,0.152,49,2.08,14,0.347,107,107,0.82,-19.21,-8.25,-11.14,-11.15,-16.9,-7.51,-8.06,-7.81,-8.68,-9.63,1.33,-1.55,-1.57,-7.31,2.08,1.52,1.78,0.91,-8.68,0.91,-10.54,0.42,-2.46,-2.48,-8.22,1.17,0.61,0.87,0,
Ramon Alfaro,17,SEA,1,0,-7.8,lf,,S,,4,0.153,48,1.42,17,0.319,102,-999,0.48,-19.27,-8.15,-10.9,-10.43,-14.26,-7.8,-9.65,-9.92,-8.73,-10.05,1.07,-1.68,-1.21,-5.04,1.42,-0.44,-0.7,0.49,-8.73,0.49,-10.54,0.58,-2.17,-1.7,-5.53,0.94,-0.92,-1.18,0,
Oscar Rentas,17,PHI,0,0,-7.55,lf,LF,R,,8,0.148,50,0.76,17,0.319,101,101,0.83,-19.09,-8.19,-10.53,-11.08,-15.27,-7.55,-8.82,-8.89,-8.55,-10.77,0.13,-2.21,-2.77,-6.96,0.76,-0.51,-0.57,-0.23,-8.55,-0.23,-10.54,0.36,-1.98,-2.53,-6.72,1.0,-0.27,-0.34,0,
Ademar Barca,17,CWS,0,0,-6.74,3b,3B,S,,4,0.152,49,2.27,14,0.341,106,106,0.82,-19.21,-8.05,-7.14,-6.74,-9.3,-7.74,-9.51,-9.86,-8.68,-10.2,0.97,1.87,2.27,-0.29,1.27,-0.5,-0.85,0.34,-8.68,0.34,-10.54,0.63,1.54,1.94,-0.62,0.94,-0.84,-1.18,0,
Alex Vasquez,17,BOS,1,0,-7.73,lf,LF,R,,4,0.152,49,1.57,17,0.344,107,107,0.82,-18.93,-8.15,-8.15,-9.39,-11.93,-7.73,-8.91,-9.15,-8.68,-9.63,1.15,1.15,-0.09,-2.63,1.57,0.39,0.14,0.62,-8.68,0.62,-10.25,0.53,0.52,-0.72,-3.25,0.95,-0.24,-0.48,0,
Tony Delgado,16,CHC,0,0,-9.42,1b,,S,,4,0.134,44,-4.87,8,0.23,69,-999,0.44,-20.14,-9.42,-14.25,-12.97,-17.83,-12.46,-11.52,-12.36,-9.61,-15.6,-4.87,-9.7,-8.42,-13.28,-7.91,-6.97,-7.81,-5.06,-9.61,-5.06,-10.54,0.19,-4.64,-3.36,-8.22,-2.85,-1.91,-2.75,0,
Esteban Miranda,17,CHC,1,0,-8.82,lf,,R,,4,0.134,44,-6.18,4,0.196,59,-999,0.44,-20.01,-9.38,-14.32,-14.26,-17.99,-8.82,-10.68,-11.22,-9.61,-17.36,-6.74,-11.67,-11.62,-15.35,-6.18,-8.04,-8.58,-6.96,-9.61,-6.96,-10.4,0.22,-4.71,-4.65,-8.38,0.79,-1.07,-1.61,0,
Roberto Silva,17,CHC,1,0,-8.96,1b,,L,,4,0.145,47,-3.99,6,0.248,76,-999,0.47,-19.57,-8.96,-13.63,-13.29,-17.59,-13.21,-10.5,-12.77,-9.03,-14.59,-3.99,-8.65,-8.32,-12.61,-8.24,-5.52,-7.8,-4.05,-9.03,-4.05,-10.54,0.07,-4.6,-4.27,-8.56,-4.18,-1.47,-3.74,0,
Fernando Cabrera,17,Free,0,0,-7.76,1b,3B,R,,6,0.163,52,0.15,14,0.325,99,99,0.87,-18.56,-7.76,-9.2,-7.78,-11.44,-11.06,-10.12,-10.78,-8.31,-10.65,0.15,-1.29,0.13,-3.53,-3.15,-2.21,-2.87,-0.4,-8.31,-0.4,-10.25,0.55,-0.89,0.53,-3.13,-2.75,-1.81,-2.47,0,
Luis Vargas,16,SD,0,0,-7.32,3b,,L,,6,0.161,52,2.24,17,0.364,113,-999,0.52,-18.74,-7.81,-9.29,-7.32,-11.9,-10.9,-9.96,-10.52,-8.2,-9.18,1.75,0.27,2.24,-2.35,-1.34,-0.4,-0.96,1.36,-8.2,1.36,-10.54,0.39,-1.09,0.88,-3.7,-2.7,-1.76,-2.32,0,
Antonio Figueroa,16,MIA,1,0,-6.24,c,C,L,,4,0.161,50,1.29,12,0.317,94,94,0.94,-6.24,-8.42,-12.31,-11.1,-15.77,-12.82,-9.95,-12.21,-8.49,1.29,-0.89,-4.78,-3.57,-8.24,-5.28,-2.42,-4.68,-0.96,-8.49,-0.96,2.25,0.07,-3.83,-2.61,-7.28,-4.33,-1.46,-3.73,0,
Julian Morales,16,CHC,1,0,-8.44,lf,RF,L,,4,0.134,44,-6.75,8,0.174,55,55,0.75,-19.86,-9.28,-13.02,-13.1,-16.98,-8.44,-8.95,-8.74,-9.61,-18.17,-7.59,-11.33,-11.41,-15.29,-6.75,-7.26,-7.05,-7.92,-9.61,-7.92,-10.25,0.33,-3.42,-3.49,-7.37,1.17,0.66,0.87,0,
Francisco Torres,17,LAA,0,0,-7.24,c,,R,,6,0.147,49,1.6,14,0.338,105,-999,0.49,-7.24,-8.47,-13.0,-12.5,-16.94,-12.6,-10.15,-12.28,-8.59,1.6,0.37,-4.16,-3.66,-8.11,-3.76,-1.32,-3.44,0.25,-8.59,0.25,1.35,0.12,-4.41,-3.91,-8.35,-4.01,-1.56,-3.69,0,
Edwin Lopez,17,CHC,0,0,-9.49,1b,,R,,4,0.134,44,-8.52,4,0.156,48,-999,0.44,-20.01,-9.49,-13.84,-11.83,-17.02,-12.41,-11.51,-12.22,-9.61,-19.04,-8.52,-12.87,-10.86,-16.05,-11.44,-10.55,-11.25,-8.64,-9.61,-8.64,-10.4,0.12,-4.23,-2.22,-7.41,-2.8,-1.91,-2.61,0,
Jose Rulz,16,NYY,0,0,-7.63,1b,,L,,6,0.168,54,2.0,16,0.371,112,-999,0.54,-18.08,-7.63,-11.74,-10.88,-15.76,-11.91,-9.15,-11.28,-7.82,-8.45,2.0,-2.11,-1.25,-6.14,-2.28,0.48,-1.66,1.8,-7.82,1.8,-10.25,0.2,-3.91,-3.05,-7.94,-4.09,-1.32,-3.46,0,
Jesus Moralez,16,BAL,1,0,-7.93,3b,"2B, 3B",R,,4,0.152,49,0.66,10,0.34,101,101,0.83,-19.21,-8.33,-8.62,-7.93,-10.46,-13.05,-10.14,-12.54,-8.68,-10.63,0.26,-0.03,0.66,-1.87,-4.47,-1.56,-3.96,-0.09,-8.68,-0.09,-10.54,0.35,0.06,0.75,-1.78,-4.38,-1.47,-3.87,0,
William Avina,17,STL,1,0,-8.37,lf,,L,,4,0.151,47,0.35,21,0.327,98,-999,0.47,-19.64,-9.07,-14.39,-13.49,-18.59,-8.37,-10.23,-10.86,-9.11,-10.92,-0.35,-5.67,-4.77,-9.87,0.35,-1.51,-2.14,-0.39,-9.11,-0.39,-10.54,0.04,-5.28,-4.38,-9.48,0.74,-1.12,-1.76,0,
Frank Duarte,17,STL,1,0,-7.14,lf,,L,,8,0.162,54,3.15,23,0.374,121,-999,0.54,-18.22,-7.48,-11.98,-10.96,-17.01,-7.14,-9.08,-9.65,-7.82,-7.94,2.8,-1.69,-0.67,-6.72,3.15,1.2,0.64,2.46,-7.82,2.46,-10.4,0.34,-4.16,-3.14,-9.18,0.68,-1.26,-1.83,0,
Augusto Carrillo,16,SF,0,0,-7.96,1b,,S,,6,0.163,52,0.83,12,0.345,105,-999,0.52,-18.85,-7.96,-8.55,-9.87,-13.34,-12.79,-9.93,-12.36,-8.31,-10.06,0.83,0.23,-1.09,-4.56,-4.01,-1.14,-3.58,0.47,-8.31,0.47,-10.54,0.35,-0.24,-1.56,-5.03,-4.48,-1.62,-4.05,0,
Masanori Yoshida,24,MIA,1,2,1.76,lf,,L,,23,0.341,111,2.71,23,0.368,118,-999,1.11,-9.51,1.34,-3.58,-2.51,-7.27,1.76,-0.1,-0.73,1.02,-8.57,2.28,-2.63,-1.56,-6.32,2.71,0.85,0.22,1.97,1.02,1.97,-10.54,0.31,-4.6,-3.53,-8.29,0.74,-1.12,-1.76,0,
Mitsujiro Yoshimura,30,TOR,0,169,1.13,3b,3B,R,31,17,0.319,100,1.13,17,0.319,100,100,1.0,-10.91,0.19,-0.19,1.13,-2.2,-3.12,-2.18,-2.84,-0.37,-10.91,0.19,-0.19,1.13,-2.2,-3.12,-2.18,-2.84,-0.37,-0.37,-0.37,-10.54,0.56,0.18,1.51,-1.83,-2.75,-1.81,-2.47,0,
Andres Gonzalez,24,CHC,1,0,-0.51,1b,,R,,13,0.325,94,0.88,16,0.354,106,-999,0.94,-11.45,-0.51,-2.39,-0.77,-6.38,-3.61,-2.77,-3.24,-0.92,-10.06,0.88,-1.0,0.63,-4.99,-2.22,-1.37,-1.84,0.48,-0.92,0.48,-10.54,0.41,-1.48,0.15,-5.46,-2.7,-1.85,-2.32,0,
Jordan Sosa,17,KC,1,0,-7.02,lf,,L,,4,0.165,52,2.62,12,0.382,113,-999,0.52,-18.59,-7.74,-12.09,-11.2,-16.63,-7.02,-8.75,-8.96,-8.06,-8.95,1.9,-2.46,-1.56,-6.99,2.62,0.89,0.68,1.58,-8.06,1.58,-10.54,0.32,-4.04,-3.14,-8.57,1.04,-0.69,-0.9,0,
Tony Villafuerte,16,AZ,1,0,-7.25,lf,RF,L,,4,0.151,49,1.56,14,0.341,104,104,0.83,-18.97,-8.26,-12.64,-10.59,-15.71,-7.25,-7.76,-7.27,-8.57,-10.16,0.54,-3.83,-1.78,-6.9,1.56,1.05,1.54,0.24,-8.57,0.24,-10.4,0.3,-4.07,-2.02,-7.14,1.32,0.81,1.3,0,
Angelo Martinez,17,CHC,1,0,-8.66,lf,LF,R,,4,0.134,44,-6.12,8,0.183,58,58,0.73,-20.14,-9.47,-14.21,-13.87,-18.16,-8.66,-9.89,-10.09,-9.61,-17.61,-6.94,-11.67,-11.34,-15.63,-6.12,-7.35,-7.55,-7.07,-9.61,-7.07,-10.54,0.14,-4.6,-4.27,-8.56,0.95,-0.28,-0.48,0,
Roberto Rios,16,COL,1,0,-8.41,1b,,R,,6,0.141,47,0.6,10,0.343,103,-999,0.47,-19.37,-8.41,-9.84,-10.67,-13.72,-13.29,-10.34,-12.69,-8.97,-10.35,0.6,-0.82,-1.65,-4.7,-4.28,-1.32,-3.68,0.05,-8.97,0.05,-10.4,0.55,-0.87,-1.7,-4.75,-4.33,-1.37,-3.73,0,
Alex Veras,17,TOR,1,0,-7.46,c,,L,,4,0.161,50,1.95,13,0.371,107,-999,0.5,-7.46,-8.42,-13.01,-10.71,-16.07,-12.24,-9.71,-11.53,-8.49,1.95,0.99,-3.6,-1.31,-6.67,-2.84,-0.31,-2.13,0.92,-8.49,0.92,1.03,0.07,-4.52,-2.22,-7.59,-3.76,-1.22,-3.05,0,
Carlos Higuera,17,CLE,1,0,-8.3,1b,,R,,6,0.147,49,1.36,14,0.361,111,-999,0.49,-19.13,-8.3,-8.41,-10.35,-14.09,-12.97,-10.06,-12.57,-8.59,-9.47,1.36,1.25,-0.69,-4.44,-3.31,-0.4,-2.91,1.07,-8.59,1.07,-10.54,0.29,0.18,-1.76,-5.5,-4.38,-1.47,-3.98,0,
Alex Puentes,17,LAD,0,0,-6.64,rf,RF,S,,4,0.16,51,1.99,14,0.343,105,105,0.85,-18.84,-7.95,-8.53,-11.47,-15.1,-7.17,-6.96,-6.64,-8.3,-10.21,0.68,0.1,-2.84,-6.47,1.46,1.67,1.99,0.33,-8.3,0.33,-10.54,0.35,-0.23,-3.17,-6.8,1.13,1.34,1.66,0,
Ricky Arreola,17,CHC,1,0,-9.19,1b,,L,,4,0.14,46,-2.79,10,0.277,83,-999,0.46,-19.79,-9.19,-13.8,-12.97,-17.51,-13.74,-10.87,-13.3,-9.25,-13.39,-2.79,-7.4,-6.57,-11.1,-7.34,-4.47,-6.9,-2.85,-9.25,-2.85,-10.54,0.07,-4.54,-3.71,-8.25,-4.48,-1.62,-4.05,0,
Carlos Maldonado,17,CIN,1,0,-7.96,1b,,R,,8,0.155,51,0.65,17,0.336,103,-999,0.51,-18.78,-7.96,-9.97,-10.52,-14.4,-12.48,-9.52,-11.69,-8.25,-10.18,0.65,-1.36,-1.92,-5.79,-3.87,-0.91,-3.08,0.36,-8.25,0.36,-10.54,0.29,-1.72,-2.28,-6.15,-4.23,-1.28,-3.45,0,
Alex Stichini,17,HOU,0,0,-8.1,lf,,L,,8,0.144,49,0.81,14,0.335,102,-999,0.49,-19.42,-8.57,-12.86,-12.49,-17.13,-8.1,-9.96,-10.5,-8.89,-10.52,0.33,-3.95,-3.59,-8.23,0.81,-1.05,-1.6,0.02,-8.89,0.02,-10.54,0.32,-3.97,-3.6,-8.25,0.79,-1.07,-1.61,0,
Luis Ramirez,16,CWS,1,0,-8.09,1b,,R,,6,0.165,51,1.05,20,0.371,104,-999,0.51,-19.0,-8.09,-9.05,-8.4,-13.71,-12.84,-9.88,-12.44,-8.46,-9.86,1.05,0.09,0.74,-4.57,-3.7,-0.74,-3.3,0.68,-8.46,0.68,-10.54,0.37,-0.59,0.06,-5.25,-4.38,-1.42,-3.98,0,
David Rodriguez,18,CHC,1,0,-9.5,1b,,S,,4,0.134,44,-7.81,8,0.174,55,-999,0.44,-20.14,-9.5,-14.6,-14.26,-18.16,-12.51,-11.57,-12.5,-9.61,-18.45,-7.81,-12.91,-12.57,-16.47,-10.82,-9.88,-10.81,-7.92,-9.61,-7.92,-10.54,0.1,-5.0,-4.65,-8.56,-2.9,-1.96,-2.89,0,
Danny de Arcos,17,DET,1,0,-8.13,lf,LF,R,,4,0.145,47,0.31,22,0.302,96,96,0.78,-19.57,-8.99,-14.08,-13.41,-18.63,-8.13,-9.36,-9.65,-9.03,-11.13,-0.55,-5.64,-4.98,-10.19,0.31,-0.92,-1.21,-0.59,-9.03,-0.59,-10.54,0.04,-5.05,-4.38,-9.6,0.9,-0.33,-0.62,0,
Bernard Scott,17,CHC,0,0,-8.52,lf,,R,,4,0.14,46,-0.2,17,0.304,98,-999,0.46,-19.79,-9.02,-13.69,-13.05,-18.29,-8.52,-10.24,-11.01,-9.25,-11.48,-0.71,-5.38,-4.74,-9.98,-0.2,-1.93,-2.7,-0.94,-9.25,-0.94,-10.54,0.23,-4.44,-3.8,-9.04,0.74,-0.99,-1.76,0,
Rey Ortiz,16,CHC,1,0,-9.51,1b,,R,,4,0.134,44,-3.17,6,0.277,80,-999,0.44,-20.14,-9.51,-14.19,-12.41,-17.52,-13.93,-11.07,-13.33,-9.61,-13.81,-3.17,-7.85,-6.08,-11.18,-7.6,-4.73,-7.0,-3.27,-9.61,-3.27,-10.54,0.1,-4.58,-2.81,-7.91,-4.33,-1.46,-3.73,0,
Inês Rubio,17,CHC,0,0,-8.44,lf,RF,R,,4,0.134,44,-5.6,6,0.201,60,60,0.73,-20.14,-9.57,-14.7,-13.9,-18.13,-8.44,-8.99,-8.74,-9.61,-17.31,-6.73,-11.87,-11.07,-15.3,-5.6,-6.16,-5.9,-6.77,-9.61,-6.77,-10.54,0.04,-5.09,-4.3,-8.53,1.17,0.61,0.87,0,
Hector Soto,17,ATL,1,0,-7.78,c,,R,,6,0.154,51,2.38,23,0.36,115,-999,0.51,-7.78,-8.39,-12.63,-11.11,-15.96,-12.63,-9.92,-12.1,-8.5,2.38,1.77,-2.47,-0.95,-5.81,-2.47,0.24,-1.94,1.66,-8.5,1.66,0.72,0.11,-4.13,-2.61,-7.47,-4.13,-1.42,-3.6,0,
Carlos Diaz,16,SEA,1,0,-6.06,3b,,R,,4,0.139,46,2.11,14,0.307,96,-999,0.46,-19.68,-8.44,-8.84,-6.06,-10.08,-13.0,-10.51,-12.48,-9.15,-11.51,-0.27,-0.67,2.11,-1.91,-4.83,-2.34,-4.31,-0.97,-9.15,-0.97,-10.54,0.7,0.3,3.08,-0.94,-3.86,-1.37,-3.34,0,
Tony Lopez,16,KC,1,0,-7.37,3b,,R,,4,0.152,49,1.93,17,0.344,107,-999,0.49,-19.21,-8.22,-9.08,-7.37,-11.58,-13.0,-10.14,-12.4,-8.68,-9.91,1.08,0.22,1.93,-2.28,-3.7,-0.84,-3.1,0.62,-8.68,0.62,-10.54,0.45,-0.4,1.3,-2.91,-4.33,-1.46,-3.73,0,
